Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2019-01-01,137.7276455527,131.5821186844,139.7195736705,130.20606412
ETH,2019-01-02,153.965635792,137.7276311709,155.1068019106,137.2237201768
ETH,2019-01-03,148.7968732927,153.9655469309,155.6874294734,144.7769438237
ETH,2019-01-04,152.8736310456,147.3248142402,155.5245700781,145.5341899702
ETH,2019-01-05,155.095360577,152.8733306126,159.9726505358,152.3269856907
ETH,2019-01-06,154.5808229532,154.1942338202,158.7781413884,148.7547336576
ETH,2019-01-07,149.6001646386,155.7205699189,156.843891018,96.6512947703
ETH,2019-01-08,148.9541572482,149.5236864541,152.6321400943,146.4878361941
ETH,2019-01-09,149.4467337191,148.5117914356,152.4764332315,147.9579900152
ETH,2019-01-10,126.5650300753,149.446667593,150.6208103157,121.6887333375
ETH,2019-01-11,123.5910350506,126.5371877814,128.8067577868,121.3556451374
ETH,2019-01-12,123.8033581291,123.6304859185,127.0693278771,122.8037322756
ETH,2019-01-13,114.944223904,124.3771182707,125.2036302344,113.1292871355
ETH,2019-01-14,128.0799992287,114.944209936,131.1185194846,114.2667117189
ETH,2019-01-15,118.5098661616,128.0801296234,130.0356931767,116.8963344775
ETH,2019-01-16,121.9013891834,118.5100791146,127.3818186236,118.3190122797
ETH,2019-01-17,121.6874460073,121.9623271169,123.2277154689,117.4122301281
ETH,2019-01-18,119.2001110172,121.7069500953,123.2127346406,118.0183862219
ETH,2019-01-19,123.5757733021,119.2001574637,125.6448549632,119.1326426989
ETH,2019-01-20,117.5549281201,123.0924412381,123.7254707041,115.9477572692
ETH,2019-01-21,115.7333685348,117.5546208111,118.1063765025,113.5182197825
ETH,2019-01-22,118.2059597956,115.7334620487,119.4316956735,111.5413688087
ETH,2019-01-23,116.3314966966,117.8343337585,118.8260131865,115.0576305392
ETH,2019-01-24,116.1124519087,116.5487895277,117.101297508,113.9071136174
ETH,2019-01-25,115.2563718932,116.4927724875,117.1356830427,114.3611699567
ETH,2019-01-26,115.243615305,115.2563656375,117.7671783066,114.8544639463
ETH,2019-01-27,112.6337304817,115.2438412381,115.6642687452,110.725584374
ETH,2019-01-28,105.0082800486,111.4585951733,112.3475301513,100.8689101548
ETH,2019-01-29,104.1371894495,105.4232294521,105.9885817649,102.2851845829
ETH,2019-01-30,107.571489859,104.1369390913,109.2572738536,102.9618628699
ETH,2019-01-31,106.1733014406,107.5141402595,109.946907928,104.8366869868
ETH,2019-02-01,106.1211666282,105.8107493721,106.7926356915,103.1805885389
ETH,2019-02-02,106.7283216447,106.1211677508,107.3488816606,105.1443238066
ETH,2019-02-03,106.0944999198,106.7092013309,110.1662270237,104.733603228
ETH,2019-02-04,106.240187899,106.033106874,107.9000538845,105.2332059991
ETH,2019-02-05,105.9936587395,106.2401433317,106.7151779357,105.2543571015
ETH,2019-02-06,103.9392120839,106.0126808628,106.3714783478,100.2281066932
ETH,2019-02-07,103.2855553044,103.2956520455,104.7116364742,102.7100567406
ETH,2019-02-08,116.4289744812,103.2859055186,122.1893147819,102.3980986452
ETH,2019-02-09,117.8487110475,117.9527024801,119.8365281452,116.3853593852
ETH,2019-02-10,120.3541791033,117.8486112438,121.1527323086,114.8131007264
ETH,2019-02-11,119.8905690818,120.3544952798,124.6101955719,118.2158464709
ETH,2019-02-12,120.2123398038,119.9000600182,122.3045379321,117.0696381076
ETH,2019-02-13,120.4059778238,120.9543782342,124.9783440393,119.5683735057
ETH,2019-02-14,119.8093874507,120.4345756936,123.0146428311,119.0710362354
ETH,2019-02-15,120.2850568135,119.2897881336,122.9850158772,119.0954876139
ETH,2019-02-16,122.2792164967,120.2816440732,123.4070221186,120.1800621406
ETH,2019-02-17,132.0913764116,122.2830339132,132.5506291018,121.4280412984
ETH,2019-02-18,142.6179951418,132.0833333326,146.9166314182,131.1529605356
ETH,2019-02-19,144.1606665703,144.3135748655,148.8948454943,142.4677219988
ETH,2019-02-20,145.5482540169,144.1319613327,147.1164350201,139.467396243
ETH,2019-02-21,142.8699894413,145.5498059249,148.1926589608,141.7698535895
ETH,2019-02-22,146.6658011571,144.2710961817,147.2431931097,142.4787667331
ETH,2019-02-23,157.0470866597,146.6464760033,158.7038543115,145.0117551703
ETH,2019-02-24,137.763890984,157.0405027344,164.810550368,133.5265434447
ETH,2019-02-25,138.0371413165,137.7391332464,140.5764644325,131.6922631295
ETH,2019-02-26,135.7434190968,138.036583388,138.3588512001,133.3974162438
ETH,2019-02-27,131.6677684794,135.7713840795,139.4785733566,126.043288588
ETH,2019-02-28,134.8225062414,131.6017073269,137.669033076,131.3947799127
ETH,2019-03-01,135.0662511356,134.8221983759,137.4061494107,134.2014573486
ETH,2019-03-02,131.3451771212,134.7353162452,135.5207970164,129.6586445321
ETH,2019-03-03,130.3974611771,132.1474850043,133.9691892797,130.0856239876
ETH,2019-03-04,124.7250939109,130.3973379701,130.5621234901,122.2481348449
ETH,2019-03-05,135.0005720069,125.1612073109,137.4146380411,124.6598913252
ETH,2019-03-06,137.0843769976,134.9907852234,139.5835224119,133.0811174623
ETH,2019-03-07,136.8074623786,137.0939126805,139.4915609802,134.6826753237
ETH,2019-03-08,132.3616609838,136.788275663,138.567590559,129.8461263274
ETH,2019-03-09,136.0269174012,132.7106300672,137.8407867183,132.2005986007
ETH,2019-03-10,135.3620740288,136.3902090716,136.9078854291,133.4034303258
ETH,2019-03-11,132.4076102121,134.8044892266,135.4373066435,130.655977301
ETH,2019-03-12,132.8070686592,132.4461883875,134.3241246974,127.469041664
ETH,2019-03-13,131.0407793819,132.8068615716,133.2914310739,130.166299804
ETH,2019-03-14,131.3672841037,131.0407793799,134.2672074545,128.8915678631
ETH,2019-03-15,134.9901213568,131.3674027933,136.249066713,131.2485041907
ETH,2019-03-16,140.5670429458,134.9900710231,143.5012829704,134.9611651338
ETH,2019-03-17,138.3158541993,140.3810021455,140.4071487498,136.6650847313
ETH,2019-03-18,137.3255003263,138.3259516038,141.1925474255,135.7379400447
ETH,2019-03-19,137.6186420541,136.9880792838,138.70850035,136.3273094607
ETH,2019-03-20,138.8187357275,137.6183717495,139.0857550616,135.744654638
ETH,2019-03-21,134.8007697238,138.5590735835,139.0603972222,132.3140785395
ETH,2019-03-22,136.0194987123,134.7910274134,136.995373498,134.056489333
ETH,2019-03-23,136.4499003611,135.7098431562,137.6065983039,135.541304583
ETH,2019-03-24,135.3985811821,136.4499003611,136.781789431,134.4535309838
ETH,2019-03-25,133.3026313866,135.3987134978,136.2429513742,131.9485493951
ETH,2019-03-26,133.491076466,133.3026313903,134.0453116715,131.8460824887
ETH,2019-03-27,138.0700978023,133.6068482132,138.4396785207,133.3502828326
ETH,2019-03-28,137.3131883414,138.0713549413,139.6121758174,136.9036614054
ETH,2019-03-29,141.3032261861,137.3131894522,141.9577680655,137.3054559103
ETH,2019-03-30,141.9411061732,142.9308878601,145.3971303255,140.1061777971
ETH,2019-03-31,141.3437324434,141.9411061732,142.3020308014,140.4430786403
ETH,2019-04-01,141.7132480977,141.3437324434,143.4213245899,139.6024911608
ETH,2019-04-02,162.4298499194,141.7131425735,162.4298499194,141.1391834781
ETH,2019-04-03,164.7095956211,162.4258216156,178.7461974501,161.3090185289
ETH,2019-04-04,157.0412172898,160.9538666575,164.7657107971,153.7237594135
ETH,2019-04-05,165.9009262332,157.0468402461,168.4524557544,156.4458813124
ETH,2019-04-06,165.1570911346,165.6701460262,173.1086202004,160.5805099234
ETH,2019-04-07,173.9915868596,165.1570733238,176.2497243452,164.3032370269
ETH,2019-04-08,180.2351402374,174.8922261462,186.6640292356,173.0594830604
ETH,2019-04-09,176.1470907475,180.2311269375,181.0021666632,173.9740099774
ETH,2019-04-10,176.9719356847,176.1472961606,184.5993879421,170.9414176756
ETH,2019-04-11,165.6442939753,177.6830927779,177.862885283,160.3467721447
ETH,2019-04-12,165.2382409608,165.5401782406,167.3150712195,159.6024532112
ETH,2019-04-13,163.5799827431,165.2382504247,166.0142708935,162.1620011157
ETH,2019-04-14,168.2816859782,163.7809405687,168.6729722836,161.9848446413
ETH,2019-04-15,161.2565403665,167.9639777994,169.3339980993,156.8817264905
ETH,2019-04-16,165.6484764816,160.9763295278,167.8432376701,160.2917735348
